,text_content,Contador,Golpe
11,"I Eu não compro bitcoin, como todos os dias!  Quer saber como eu faço 0,5BTC (3767,44) a cada 24 horas?  Eu vou te mostrar se você me perguntar como.
        Você pode negociar comigo um gerente de contas que tenha o software mais recente e um corretor confiável para atender às suas necessidades.  A retirada é 100% e totalmente garantida.  Com um investimento mínimo de $ 100, você terá um lucro significativo.
      
        $ 200 para ganhar $ 2.500 a cada 24 horas
        $ 300 para ganhar $ 3.500 a cada 24 horas
        $ 400 para ganhar $ 4500 a cada 24 horas
        $ 500 para obter $ 5.500 a cada 24 horas
        $ 600 para obter $ 6500 a cada 24 horas
        $ 700 para obter $ 7.500 a cada 24 horas
        $ 800 para obter $ 8500 a cada 24 horas
        $ 1000 oferece $ 10.000 a cada 24 horas
        Se você estiver interessado, envie-me uma mensagem no WhatsApp https://wa.me/+23409013796022_?text=Hello!%20I'm%20Interested%20In%20Bitcoin",26,1
10,"*BRASIL: Amanda Klein se desespera com a volta dos empregos e toma invertida #shorts; ASSISTA*

https://www.pensandodireita.com/2022/10/brasil-amanda-klein-se-desespera-com_28.html?m=1",26,0
12,"Aliados de Lula são presos com R$ 3 milhões em Manaus. Dinheiro serviria para tirar a diferença de Bolsonaro no Amazonas. 

https://oantagonista.uol.com.br/brasil/policia-federal-faz-apreensao-milionaria-na-operacao-eleicao-2022/",26,0
13,"*SE ALGUÉM TE PERGUNTAR O QUE FOI QUE BOLSONARO FEZ DE BOM PARA O BRASIL, MOSTRE ESSA LISTA ABAIXO COM ALGUMAS COISAS QUE ELE FEZ.*

1. Criou o PIX 
2. Deu 33% de aumento aos professores. 
3. Deu 92% de desconto para aos alunos que deviam o FIES.
4. Aumentou o Bolsa Atleta de 1.000,00 para 8.000,00 reais. 
5. Possibilitou a transferência de veículos sem cartório. 
6. Criou a tecnologia 5G brasileira. 
7. Obteve recordes na exportação brasileira. 
8. Obteve superavit na balança comercial do Brasil 
9. Criou o programa ÁGUA Doce
10. Possibilitou a prova de vida dos idosos pelo celular. 
12. Zerou impostos federais para gasolina e gás 
13. Reduziu imposto e teve recordes na apuração.
14. Fez voltar os jogos estudantis 
15. Mais de 380 mil casas entregues.  Projeto Casa Verde e Amarela 
16. Primeira feira do Grafeno do Brasil 
17. Parceria com a NASAS Missão ARTEMIS
18. Transposição do Rio São Francisco, parada há décadas -  Água para o Nordeste 
19. Aumentou de 180,00 no Bolsa Família para 600,00 com o programa Auxílio Brasil 
20. Construção de 2 adutoras no agreste e Síridó 
21. Lucro recorde para na CAIXA Econômica 
22. Saúde para os povos indígenas aumetou em 30%
23. Asfaltamento para a Transamazônica, a 230.
24. Ferrovias construídas:
Ferrovia do Sol
Ferrovia Paraná 
Ferrovia Mato Grosso 
Ferrovia Tocantins e
Ferrovia Goiás 
24. Combate so garimpo ilegal 
25. Alterou a Lei ROUANET
26. Melhoras na educação desde 2005
27. Perfuração de poços de gás na Amazônia 
28. Combate ao narcotráfico como nunca antes 
29. Combate a corrupção nunca visto antes 
30. Terminando as obras paradas de vários anos 
32. Lançamento de 3 satélites para o monitoramento da Amazônia 
33. Carteira de motorista agora válida por 10 anos 
34. Carteira nacional digital para estudantes 
35. Deu mais de 100 mil títulos de terra em Mato Grosso 
36. Privatização de estatais que não funcionavam bem e desnecessárias para governo. 
37. Construção do Complexo solar na Paraiba
38. Curso on line para instrução e capacitação de professores 
39. Construídas várias infraestruturas como Anel Viário de Fortaleza.  BR 222. BR 022. BR 285. BR 116. Rota Bioceanica Chile- Brasil.  Ponte de integração Brasil-Paraguai.
40. Menor taxa de juros da história do Brasil 
41. Ampliação e investimentos nas usinas de energia eólicas e fotovoltaicas
42. Pensão vitalícia para os filhos com Zica Vírus. 
43. Vacina 100% brasileira para covid, VERSAMUNE
43. Fez voltar o patriotismo nos brasileiros.
44. Nos fez ver as coisas erradas que ficavam escondidas dos brasileiros. ""Conhecereis a verdade e a verdade vos libertará""
45. Defendeu abertamente a  importância da liberdade, da igreja,  da família e de Deus.
46. Lutou pela moralização na política e no governo. 
47. É a favor de um estado menor e com menos interferência do estado na vida do povo.
48. Defendeu a liberdade Econômica e dos empreendimentos.
49. Diminuiu a burocratização de muitas coisas no Brasil 
50. É contra o neo comunismo, da ideológica partidária nas escolas, a ideologia de gênero e do aborto.
52. Defendeu e
defende a família tradicional, os valores cristãos e a honestidade com o dinheiro público.
53. Recuperou a Petrobras que deu lucro de mais de 40 bilhões. 
54. Fez os brasileiros a voltar a acreditar e ter esperança no Brasil.
55. Pediu para que o exército cavasse poços de água no sertão.
56. Fez diminuir as invasões de terra pelo MST
57. Fez diminuir a criminalidade no país 
58. Mostrou que sem roubar sobra dinheiro para muitas coisas.
59. Com seu jeito de ser expressou o desejo, sentimento e o que o povo pensa. No
60. Mostrou que ama o Brasil e está pronto a dar a vida por uma pátria livre. 🇧🇷 🇧🇷🇧🇷
*Copia e cola, pra compartilhar para 5 contatos a cada envio *",26,0
14,"Sensacional...Marieta Severo!...!!! Parabéns..., q prazer compartilhar o seu texto...!!!

“Os erros de Luís!

Você errou, Luís...
Errou na mão, errou na dose, errou no tempo, errou na história...
Contra todo e qualquer argumento, Luís, voce teve a oportunidade histórica de fazer diferente...
Mas escolheu fazer igual, escolheu piorar o que sempre criticou...
Esqueceu suas raízes, suas origens humildes e se aliou aos poderosos de plantão...
Esqueceu os seus amigos antigos e olhando apenas pra o próprio umbigo, Luís, abraçou a traição...
Você errou Luís...
Errou feio...
Errou no mensalão, errou no petrolão, errou ao escolher e defender Dilma e ao andar na contra-mão...
Errou ao deixar seu filho ser o ""fenômeno"" executivo de plantão...
Errou ao deixar o poder e a glória lhe subir a cabeça...
Errou mais ainda ao deixar que o dinheiro e a fama congelassem seu coração...
Errou em Santo André, no São Francisco, no Rio de Janeiro, em Atibaia, em Guarujá, em todo o país...
Errou na presunção de não ter ninguém à altura de sua luz...
Errou quando se equiparou em honestidade a Jesus...
Errou de forma tropega e infeliz...
Você errou muito Luís...
Errou quando transferiu a culpa pra gente que não podia mais se defender...
Celso Daniel, Marisa Letícia, acusados depois de morrer...
Errou quando disse que nada sabia, quando cinicamente mentia, insistia em não se envolver...
Errou quando foi incapaz de reconhecer um erro sequer, seu ou de seu partido...
Dos genuínos dólares na cueca às reformas e imóveis dos quais ""nunca tinha ouvido""...
Como você errou Luís...
Errou ao perder um dedo, ao fazer segredo de sua voraz ambição!
Errou ao se achar ""o cara"", errou na auto-vitimização!
Errou ao elogiar Chaves, Evo, Maduro, errou na manipulação...
Errou com os companheiros Dirceu, Palocci, Delcídio, Vaccari, Vargas, deixando todo mundo na mão...
E na prisão!  
É Luís...
De tanto que errou, você tanto fez, que agora é a bola da vez...
Na marola do mar de lama em que se transformou o seu tempo no poder, não tinha mais como se esconder...
E embora o fanatismo de uns, o ego de outros e o interesse de tantos ainda tentem lhe absolver,
mais do que uma pena, você é digno de pena, Luís...
Todos que lhe conhecem sabem muito bem que seu maior crime foi um assassinato!
Foi você, Luís, e só você que matou o Lula...
E ao matar o Lula voce aniquilou a mais bonita militância política que um partido já teve neste país...
Uma militância legítima, espontânea, verdadeira...
Não a que você conseguiu transformar em gente paga, com pão e mortadela...
Você errou Luís...
E já passou da hora de pagar as contas por seus erros...
Quem sabe, em sua arogância insana, você até se sinta feliz...
Afinal você vai em cana! E cana é tudo o que você sempre quis!”

Marieta Severo",26,0
15,Bomba: Geddel preso com as malas de dinheiro fez acordo secreto com PT para ser secretário de segurança na Bahia e mandar nas polícias ☛ https://terrabrasilnoticias.com/2022/10/bomba-geddel-preso-com-as-malas-de-dinheiro-fez-acordo-secreto-com-pt-para-ser-secretario-de-seguranca-na-bahia-e-mandar-nas-policias/,24,0
16,"*Ipec e Datafolha receberam R$ 37,6 milhões por pesquisas eleitorais*

Os dados estão registrados na base de dados abertos do Tribunal Superior Eleitoral (TSE) e foi consultada nesta sexta-feira (7).

https://www.contrafatos.com.br/ipec-e-datafolha-receberam-r-376-milhoes-por-pesquisas-eleitorais/

*Nosso Canal no Whatsapp:* 
  
2️⃣9️⃣7️⃣ https://chat.whatsapp.com/Ey3iJpRPDKA1vWN4kNEwaY",24,0
17,"*URGENTE: Bolsonaro pede que eleitor fique na seção eleitoral onde votou até resultado sair*

*_“No próximo dia 30, de verde e amarelo, vamos votar e mais que isso. Vamos permanecer na região da seção eleitoral até a apuração do resultado. Tenho certeza que o resultado será aquele que todos nós esperamos, até porque o outro lado não consegue reunir ninguém”, disse o presidente._*

*_PESSOAL VAMOS FISCALIZAR, POIS OS PETISTAS MESÁRIOS E PRESIDENTE DAS SEÇÕES ELEITORAIS PODEM VOTAR NO LUGAR DAS PESSOAS QUE FALTARAM, SE TODOS NA SEÇÃO FOR PETISTA ELES VÃO ROUBAR E VOTAR O LUGAR DOS Q FALTARAM, SABEMOS COMO SÃO OS PETISTAS, ESPERAM SÓ UMA OPORTUNIDADE PRA ROUBAR_*

*#DIVULGUEM MUITO, É NOSSO FUTURO QUE ESTÁ EM JOGO*

*https://www.folhadapolitica.com/2022/10/urgente-bolsonaro-pede-que-eleitores.html*",22,0
18,"*Receita e Polícia Federal desarticulam esquema criminoso contra o sistema financeiro*

https://portaltocanews.com.br/noticia/3435/receita-e-policia-federal-desarticulam-esquema-criminoso-contra-o-sistema-financeiro",22,0
21,"*PIX ON-LINE, O MELHOR MATERIAL DA NET, ATENDIMENTO ON-LINE COM GUSTAVO*

*VEM COM QUEM TRABALHA CERTO*

*TRANSFERÊNCIA PIX DIRETO EM SUA CONTA EM MENOS DE 30 SEGUNDOS*

*SE O VALOR COMBINADO NÃO CONSTAR EM SUA CONTA EM 30 SEGUNDOS NO MÁXIMO LHE DEVOLVO SEU DINHEIRO VIA PIX INSTANTÂNEO✅🤝🏻*

*TABELA ATUALIZADA, TRAMPO 100%✅*

*PACOTE TESTE PROMOCIONAL 150,00 VOCÊ RECEBERÁ 1.500,00*

*R$ 230,00 VAI 2.000,00 NO PIX🏦*

*R$ 330,00 VAI 3.000,00 NO PIX🏦*

*R$ 430,00 VAI 4.000,00 NO PIX🏦*

*R$ 530,00 VAI 5.000,00 NO PIX🏦*

*TRAMPO DE QUALIDADE É AQUI, COM GUSTAVO*

*GRUPO DE REFERÊNCIA TÁ ON-LINE*
https://chat.whatsapp.com/BnbQMsbBYX4BkxINT86FkL",20,1
19,Vídeo mostra ex-namorada de Lula afirmando que petista ofereceu dinheiro para ela abortar; ASSISTA ☛ https://terrabrasilnoticias.com/2022/10/video-mostra-ex-namorada-de-lula-afirmando-que-petista-ofereceu-dinheiro-para-ela-abortar-assista/,20,0
20,"*Banco do Brasil abre concurso para Nível Médio com salario de R$: 2.022,37 em vários estados; Confira as vagas*
 
https://www.redebrasilnews.com.br/2022/08/banco-do-brasil-abre-concurso-para.html",20,0
22,"Lula defende empréstimos a países que deram calote de R$ 5,2 bi no Brasil ☛ https://terrabrasilnoticias.com/2022/10/lula-defende-emprestimos-a-paises-que-deram-calote-de-r-52-bi-no-brasil/",20,0
23,"EXCLUSIVO!
Campanha de Lula cometeu crime: pagou em dinheiro vivo para pessoas irem a evento político dele em Belford Roxo/RJ, no dia 11/Out/22.
Funcionários públicos da Prefeitura foram obrigados a irem ao ato, mesmo os simpatizantes de Bolsonaro.
Peço que publique o vídeo em suas redes e envie a seus contatos.",18,0
